median_aqi,pm25_days,unhealthy_days,resp_death_rate,Risk_Cluster
55,280,4,0.000208993,2
14,121,0,0.000175045,0
45,45,0,0.000256421,1
28,350,0,0.000185682,2
53,277,0,0.000183192,2
19,0,0,0.000237822,1
38,0,0,0.000179116,1
52,220,0,0.000228596,2
28,11,0,0.000148497,1
54,90,16,0.000320034,0
44,45,0,9.27e-05,1
38,39,0,0.000223603,1
33,0,0,0.000245775,1
38,31,0,0.000126708,1
47,0,1,0.00027619,1
27,112,0,0.000241822,0
44,0,1,0.000218466,1
45,11,0,0.000229881,1
44,267,0,0.000213981,2
54,222,10,0.000286346,2
71,132,16,0.000125161,0
41,365,0,0.000202908,2
56,28,0,0.000369317,1
22,0,0,0.000323926,1
49,355,0,0.000316169,2
52,133,0,0.000149694,0
45,28,0,0.000248654,1
28,39,0,0.00023213,1
39,174,0,0.000137567,0
36,40,0,0.000300864,1
13,186,0,0.000222433,0
50,109,0,0.000270384,0
50,265,0,0.000242948,2
45,41,1,0.000203486,1
59,282,3,0.00022233,2
23,0,0,0.000314148,1
44,0,0,0.000128301,1
19,84,2,0.000265565,0
40,0,0,0.000128685,1
33,218,0,0.000139324,2
36,0,0,0.000253243,1
44,88,0,0.000316783,0
43,254,0,0.000287354,2
39,0,0,0.000252965,1
49,6,7,0.000198372,1
44,0,0,0.000195706,1
105,16,60,0.000132685,1
36,39,0,0.00025912,1
53,139,13,0.0002475,0
48,90,0,0.00020654,0
39,91,3,0.000232379,0
39,11,0,0.000314336,1
33,4,0,0.000160559,1
46,11,0,0.000298589,1
46,57,0,0.00013075,1
55,192,7,0.00014739,0
33,188,0,0.000195723,0
44,0,0,0.000224825,1
53,220,1,0.000202513,2
64,253,3,0.000122603,2
56,280,1,0.000278448,2
44,254,0,0.000209424,2
53,273,1,0.000281295,2
13,88,0,0.000254935,0
43,92,2,0.000226667,0
52,307,0,0.000257532,2
31,53,0,0.000289596,1
30,0,0,0.000260714,1
44,0,0,0.000199303,1
33,68,1,0.000411894,0
42,83,1,0.000156464,0
49,261,0,0.000297467,2
44,80,0,0.000192077,0
34,0,0,0.000260715,1
48,112,0,0.000390073,0
39,0,0,0.000202601,1
43,306,0,9.02e-05,2
44,110,0,0.000438664,0
11,113,0,0.000334089,0
47,193,0,0.000179376,0
52,281,0,0.000200537,2
46,212,3,0.000239026,2
36,0,0,0.000264551,1
34,12,2,0.000286973,1
51,251,0,0.000327468,2
7,0,0,0.000230345,1
42,86,0,0.000184145,0
45,0,0,0.000225068,1
28,122,0,0.000582797,0
46,87,1,0.000315432,0
48,80,1,0.000214802,0
33,16,0,0.000153249,1
57,359,0,0.000188316,2
49,0,4,0.000246138,1
22,104,0,0.000191458,0
60,237,4,0.000307698,2
41,100,0,0.000264061,0
34,12,0,0.000161536,1
47,163,0,0.000219918,0
45,133,3,0.000161129,0
44,111,0,0.000490346,0
55,318,0,0.000196491,2
44,0,0,0.000347223,1
30,42,0,0.00035519,1
50,272,0,0.000422207,2
47,0,0,0.000215599,1
54,159,13,0.000114821,0
34,0,0,0.000297105,1
44,49,0,0.000162276,1
36,0,0,0.000150439,1
43,0,1,0.000177383,1
44,82,1,0.000179735,0
53,288,2,0.000351989,2
47,0,1,0.0001829,1
46,92,8,0.000243393,0
28,364,0,0.000224245,2
69,8,0,9.7e-05,1
52,275,0,0.000335169,2
44,174,0,0.000260946,0
37,56,0,0.000275232,1
60,79,3,0.00030087,0
11,0,0,0.000325056,1
46,91,1,0.000279828,0
6,0,0,0.000158886,1
48,96,4,0.000225223,0
36,352,0,0.000394423,2
39,93,0,0.000161133,0
42,61,0,0.000194125,0
48,350,1,9.23e-05,2
34,0,0,0.000313552,1
37,34,0,0.000246118,1
49,89,2,0.000143425,0
47,121,0,0.000225097,0
38,32,0,0.000124563,1
46,365,0,0.000182369,2
35,34,0,0.000156661,1
52,255,3,0.000112554,2
46,0,0,0.00026363,1
38,26,0,0.00027486,1
31,0,0,0.000215516,1
48,79,0,0.000170251,0
49,95,1,0.000142764,0
48,244,1,0.000267948,2
6,0,0,0.000331969,1
58,82,2,0.000336145,0
38,0,0,0.000243928,1
45,33,0,0.000156033,1
44,56,0,0.000267248,1
52,242,0,0.000221326,2
12,47,0,7.53e-05,1
58,56,0,0.000288595,1
56,263,2,0.000170599,2
47,0,1,0.000341262,1
14,0,0,0.000184721,1
50,0,0,0.00019344,1
58,272,1,0.000208632,2
48,1,0,0.000231394,1
44,92,2,7.43e-05,0
45,211,0,0.000354202,2
51,260,0,0.000313827,2
12,0,0,0.000134605,1
61,332,0,0.000160747,2
36,194,0,0.000175914,0
52,97,4,0.000194881,0
38,0,3,0.000260607,1
34,55,0,0.000295835,1
39,293,0,0.000449657,2
44,213,0,0.000251678,2
58,49,8,0.000114161,1
48,10,1,0.000386924,1
38,199,0,0.000261632,2
9,0,0,0.000229019,1
18,0,0,0.000270578,1
48,56,4,0.000214638,1
41,0,0,0.000250391,1
49,0,0,0.000346422,1
44,21,0,0.000270714,1
18,354,0,0.000425224,2
44,0,0,0.000198797,1
36,0,1,0.000274403,1
53,77,4,0.00016768,0
49,263,0,0.000117434,2
99,158,53,0.00022515,0
44,227,0,0.000181443,2
19,40,0,0.00018021,1
53,278,0,0.000245362,2
37,66,0,0.000174203,0
45,191,1,0.00028734,0
42,207,0,0.000221051,2
55,160,1,0.000317973,0
46,279,0,0.00023823,2
56,302,0,0.000241766,2
61,170,21,0.00017386,0
36,0,7,0.000141903,1
54,83,5,0.000166676,0
38,102,0,0.000211109,0
44,74,6,0.000159263,0
46,18,0,0.000204111,1
18,16,0,5.96e-05,1
43,0,1,0.000139204,1
41,222,0,0.000252077,2
31,116,0,0.000238243,0
61,231,16,0.000198117,2
20,118,0,0.000460221,0
44,0,1,0.000194755,1
47,0,8,0.00024258,1
44,0,0,0.000269895,1
23,0,0,0.000159962,1
50,96,5,0.000421946,0
48,246,0,0.000231634,2
28,0,0,0.000341856,1
39,0,1,0.000430154,1
52,231,7,0.000246099,2
64,328,2,0.000210797,2
53,118,0,0.000225047,0
58,0,18,0.000241824,1
52,278,0,0.000168535,2
40,106,0,0.000277061,0
20,364,1,0.000289729,2
41,70,1,0.000237106,0
31,360,0,0.000205723,2
57,115,0,0.000445979,0
41,103,0,0.000327514,0
53,282,0,0.000447769,2
43,25,0,8.51e-05,1
51,349,0,0.000172492,2
45,187,0,0.000349269,0
55,258,3,0.000215211,2
41,211,0,0.000415339,2
42,0,0,0.000290859,1
49,28,1,0.000211981,1
37,0,1,0.00017025,1
62,307,2,0.000299756,2
52,116,1,0.00013532,0
40,0,0,0.000433232,1
53,231,0,0.000173731,2
39,0,0,0.000214063,1
57,225,0,0.000199217,2
37,192,0,0.000309303,0
32,238,0,0.000125347,2
46,212,0,0.000160809,2
22,357,0,0.000324924,2
62,297,1,0.000239945,2
36,0,1,0.000335806,1
47,80,9,0.000155173,0
46,46,0,0.000376334,1
31,113,0,0.000251333,0
52,302,0,0.000294515,2
43,0,0,0.000246645,1
65,288,15,0.000139704,2
41,322,0,0.000193587,2
56,284,1,0.000224699,2
40,119,0,0.000208574,0
39,0,0,0.000245278,1
87,141,56,0.000128018,0
37,58,0,0.000279779,1
62,347,8,0.000165693,2
13,0,0,0.000189836,1
32,306,0,0.000146505,2
48,268,0,0.00031776,2
42,82,1,0.000217666,0
41,27,0,0.000261108,1
40,36,3,0.000217068,1
11,103,0,0.000315593,0
37,75,0,0.000251263,0
38,111,0,0.000208444,0
59,213,1,0.000261156,2
43,343,1,0.000278578,2
34,74,0,0.000173131,0
44,167,0,0.000303674,0
48,233,3,0.000270205,2
44,262,0,0.000198218,2
33,198,0,0.000243499,2
42,275,0,0.000175227,2
40,35,0,0.000283187,1
42,55,0,0.000303286,1
51,0,5,0.000362901,1
31,0,1,0.000254707,1
39,23,0,9.43e-05,1
47,347,0,0.000254874,2
50,0,5,0.000258908,1
46,234,1,0.000141531,2
35,180,0,8.76e-05,0
41,193,1,0.000223985,0
97,48,19,0.000218615,1
33,0,3,0.00019326,1
42,0,0,0.000144727,1
45,136,0,0.000327567,0
48,112,0,0.000221051,0
46,116,0,0.000417,0
34,74,0,0.000250461,0
31,0,0,0.000259825,1
42,105,0,0.000178721,0
55,306,1,0.00017664,2
54,82,0,0.000214302,0
24,109,0,0.000260261,0
43,57,0,0.000218715,1
44,176,0,0.000144529,0
15,108,0,0.0001851,0
55,362,0,0.000226682,2
58,238,2,0.00027941,2
43,60,2,0.000253828,0
45,85,0,0.000264022,0
19,119,0,0.000666617,0
37,35,0,0.000193401,1
39,125,0,0.000193052,0
52,228,0,0.000257144,2
25,346,0,0.000345717,2
44,275,0,0.000243698,2
60,329,0,0.000265304,2
27,0,0,0.000235005,1
45,78,13,0.000238703,0
37,0,0,0.000203148,1
56,347,0,0.000257754,2
40,60,1,0.000169017,0
49,20,0,4.39e-05,1
19,0,0,0.000255066,1
53,51,7,0.000143797,1
56,120,0,0.000397617,0
41,0,0,0.000158345,1
35,0,4,0.000187642,1
34,0,0,0.000245227,1
58,203,7,0.00018136,2
39,0,0,0.0002561,1
40,0,0,0.000279398,1
48,342,4,0.000276509,2
65,280,3,0.000210426,2
37,0,0,0.000203271,1
51,361,0,0.000146242,2
46,255,0,0.000261152,2
44,231,0,0.000177849,2
23,53,0,0.000188008,1
51,359,0,0.000215998,2
15,0,0,0.000240569,1
61,291,2,0.000291632,2
52,249,0,0.000170701,2
45,0,1,0.000222809,1
31,142,0,0.000340372,0
43,57,0,0.000341665,1
43,0,0,0.000149428,1
39,210,0,0.000314918,2
47,171,0,0.000194676,0
58,263,6,0.000263871,2
41,85,0,0.000207127,0
38,243,0,0.000105001,2
48,298,0,0.000304905,2
55,289,3,0.000226033,2
37,0,0,0.000579286,1
51,307,0,0.000187841,2
38,84,5,0.000184738,0
24,343,0,0.000142527,2
54,48,12,0.000150844,1
50,119,0,0.000233075,0
19,93,0,0.000149268,0
41,100,1,0.000383732,0
24,85,0,0.000412099,0
54,14,5,0.000145279,1
40,42,1,0.00016317,1
42,207,0,0.000182219,2
16,0,0,0.000265168,1
34,41,0,0.0001929,1
55,112,0,0.000234421,0
29,360,0,0.000152072,2
45,227,0,0.000261854,2
38,278,0,0.000294734,2
